2015-12-17 15:03:38.6476|INFO|thread:37|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 312 at ICommittedFileForklift.cs:59 after waiting 0.5059566s
2015-12-17 15:03:38.6606|INFO|thread:37|AsyncReaderWriterLock|Released concurrent scheduler for operation: 312 at ICommittedFileForklift.cs:59 after blocking 0.0050431s
2015-12-17 15:03:38.6606|INFO|thread:37|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 313 at ICommittedFileForklift.cs:59 after waiting 0.5070776s
2015-12-17 15:03:38.6606|INFO|thread:36|AsyncReaderWriterLock|Released concurrent scheduler for operation: 311 at ICommittedFileForklift.cs:59 after blocking 0.0150125s
2015-12-17 15:03:38.6606|INFO|thread:36|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 314 at ICommittedFileForklift.cs:59 after waiting 0.5047925s
2015-12-17 15:03:38.6606|INFO|thread:37|AsyncReaderWriterLock|Released concurrent scheduler for operation: 313 at ICommittedFileForklift.cs:59 after blocking 0.0056427s
2015-12-17 15:03:38.6606|INFO|thread:37|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 315 at ICommittedFileForklift.cs:59 after waiting 0.5048832s
2015-12-17 15:03:38.6606|INFO|thread:36|AsyncReaderWriterLock|Released concurrent scheduler for operation: 314 at ICommittedFileForklift.cs:59 after blocking 0.0047136s
2015-12-17 15:03:38.6606|INFO|thread:36|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 316 at ICommittedFileForklift.cs:59 after waiting 0.5020488s
2015-12-17 15:03:38.6606|INFO|thread:37|AsyncReaderWriterLock|Released concurrent scheduler for operation: 315 at ICommittedFileForklift.cs:59 after blocking 0.0050975s
2015-12-17 15:03:38.6606|INFO|thread:37|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 317 at ICommittedFileForklift.cs:59 after waiting 0.5024468s
2015-12-17 15:03:38.6606|INFO|thread:36|AsyncReaderWriterLock|Released concurrent scheduler for operation: 316 at ICommittedFileForklift.cs:59 after blocking 0.0044973s
2015-12-17 15:03:38.6606|INFO|thread:36|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 318 at ICommittedFileForklift.cs:59 after waiting 0.4990331s
2015-12-17 15:03:38.6766|INFO|thread:37|AsyncReaderWriterLock|Released concurrent scheduler for operation: 317 at ICommittedFileForklift.cs:59 after blocking 0.0056108s
2015-12-17 15:03:38.6766|INFO|thread:37|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 319 at ICommittedFileForklift.cs:59 after waiting 0.5010007s
2015-12-17 15:03:38.6766|INFO|thread:36|AsyncReaderWriterLock|Released concurrent scheduler for operation: 318 at ICommittedFileForklift.cs:59 after blocking 0.0099864s
2015-12-17 15:03:38.6766|INFO|thread:36|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 320 at ICommittedFileForklift.cs:59 after waiting 0.5019208s
2015-12-17 15:03:38.6766|INFO|thread:37|AsyncReaderWriterLock|Released concurrent scheduler for operation: 319 at ICommittedFileForklift.cs:59 after blocking 0.0055503s
2015-12-17 15:03:38.6766|INFO|thread:37|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 321 at ICommittedFileForklift.cs:59 after waiting 0.4992439s
2015-12-17 15:03:38.6766|INFO|thread:37|AsyncReaderWriterLock|Released concurrent scheduler for operation: 321 at ICommittedFileForklift.cs:59 after blocking 0.0045418s
2015-12-17 15:03:38.6766|INFO|thread:37|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 322 at ICommittedFileForklift.cs:59 after waiting 0.4999047s
2015-12-17 15:03:38.6926|INFO|thread:37|AsyncReaderWriterLock|Released concurrent scheduler for operation: 322 at ICommittedFileForklift.cs:59 after blocking 0.0050113s
2015-12-17 15:03:38.6926|INFO|thread:37|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 323 at ICommittedFileForklift.cs:59 after waiting 0.5011033s
